TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
HF-F;1178;TOTAL;3822
HF-F;1191;TOTAL;3263
HF-F;1192;TOTAL;4605
HF-F;1193;TOTAL;4492
HF-F;1194;TOTAL;3725
HF-F;1195;TOTAL;3641
HF-F;2418;TOTAL;704
HF-F;2428;TOTAL;1020
HF-F;2436;TOTAL;506
HF-F;2437;TOTAL;1591
HF-F;2441;TOTAL;787
HF-F;2445;TOTAL;1723
HF-F;2721;TOTAL;1410
HF-F;2725;TOTAL;1421
HF-F;2739;TOTAL;701
HF-F;2758;TOTAL;449
HF-F;2770;TOTAL;592
HF-F;2771;TOTAL;1388
HF-F;2789;TOTAL;879
HF-F;2790;TOTAL;377
HF-F;2814;TOTAL;1888
HF-F;2827;TOTAL;1763
HF-F;2850;TOTAL;1302
HF-F;2861;TOTAL;691
HF-F;2876;TOTAL;3387
HF-F;3202;TOTAL;1447
HF-F;3259;TOTAL;7104
HF-F;3260;TOTAL;2199
HF-F;3262;TOTAL;3813
HF-F;3280;TOTAL;1382
HF-F;4408;TOTAL;696
HF-F;4410;TOTAL;776
HF-F;4451;TOTAL;1413
HF-F;4452;TOTAL;421
HF-F;4454;TOTAL;1871
HF-F;4455;TOTAL;482
HF-F;4457;TOTAL;2842
HF-F;4467;TOTAL;3298
HF-F;4468;TOTAL;2139
HF-F;4488;TOTAL;948
HF-F;5244;TOTAL;3677
HF-F;5249;TOTAL;1999
HF-F;5253;TOTAL;816
HF-F;5272;TOTAL;1425
HF-F;5285;TOTAL;1801
HF-F;5322;TOTAL;1519
HF-F;5329;TOTAL;2146
HF-F;5335;TOTAL;2572
HF-F;5356;TOTAL;2041
HF-F;7516;TOTAL;837
HF-F;7517;TOTAL;1749
HF-F;7519;TOTAL;516
HF-F;7523;TOTAL;231
HF-F;7524;TOTAL;1077
HF-F;7533;TOTAL;4309
HF-F;7540;TOTAL;1029
HF-F;7547;TOTAL;804
HF-F;7564;TOTAL;1641
HF-F;7579;TOTAL;819
HF-F;7586;TOTAL;1022
